participante,edad,sexo,num_ensayo,tipo_metafora,texto_metafora,relacion,sujeto,objeto,palabras_presentadas,q_sujeto_participante,q_objeto_participante,config_valida,configs_validas,total_score,parcial_score,respuesta_boton,rt_lectura_s,rt_inferencia_s,fecha_hora
002,21,Femenino,1,determinada,La nube flota arriba del valle verde iluminado,arriba,Nube,Valle,Valle|Nube,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,19.7039,5.82,2026-05-11 15:13:35
002,21,Femenino,2,indeterminada,El libro encuentra la taza desde un rincón incierto,indeterminada,Libro,Taza,Taza|Libro,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,10.4097,1.3576,2026-05-11 15:13:48
002,21,Femenino,3,determinada,El techo protege sobre las paredes firmes del hogar,sobre,Techo,Paredes,Techo|Paredes,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,9.6384,7.8187,2026-05-11 15:14:07
002,21,Femenino,4,indeterminada,El violín espía la silla desde un ángulo difuso,indeterminada,Violín,Silla,Violín|Silla,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,4.953,3.0958,2026-05-11 15:14:16
002,21,Femenino,5,determinada,El teléfono se queda a la derecha del lápiz fino,derecha,Teléfono,Lápiz,Lápiz|Teléfono,2,1,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,5.4806,9.5327,2026-05-11 15:14:33
002,21,Femenino,6,indeterminada,El cuadro rodea la silla desde un punto difuso,indeterminada,Cuadro,Silla,Cuadro|Silla,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,6.6594,2.5315,2026-05-11 15:14:44
002,21,Femenino,7,indeterminada,La promesa se eleva sobre el humo gris efímero,indeterminada,Promesa,Humo,Promesa|Humo,1,3,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,12.6562,6.5411,2026-05-11 15:15:04
002,21,Femenino,8,indeterminada,El papel vigila la vela desde una esquina oscura,indeterminada,Papel,Vela,Papel|Vela,2,1,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,9.9582,5.6382,2026-05-11 15:15:21
002,21,Femenino,9,indeterminada,El teléfono acompaña al lápiz desde una zona difusa,diagonal_o_lateral,Teléfono,Lápiz,Teléfono|Lápiz,2,1,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,7.7874,4.9183,2026-05-11 15:15:36
002,21,Femenino,10,determinada,La cabeza se apoya sobre los hombros fuertes rectos,sobre,Cabeza,Hombros,Cabeza|Hombros,1,2,False,"[(1, 3), (1, 4), (2, 3), (2, 4)]",0.0,50.0,Listo,10.1011,8.2071,2026-05-11 15:15:55
002,21,Femenino,11,indeterminada,El foco espía al cuaderno desde un rincón silencioso,diagonal_o_lateral,Foco,Cuaderno,Foco|Cuaderno,4,1,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,9.2446,5.6015,2026-05-11 15:16:12
